date,usd,euro,yen,rupee
08-01-1979,223.1,136.38,44436.22,1841.33
09-01-1979,224,137.29,44045.61,1822.52
10-01-1979,220.7,135.48,43366.38,1803.5
11-01-1979,220.65,135.94,43770.55,1814.57
12-01-1979,217.6,134.08,42837.13,1782.62
15-01-1979,216.85,133.83,42795.27,1782.01
16-01-1979,220.65,135.62,43225.85,1796.52
17-01-1979,227.25,139.22,44349.65,1842.06
18-01-1979,231.75,141.66,44823.37,1861.74
19-01-1979,230.55,141.14,46908.77,1940.75
22-01-1979,235,144,46387.41,1886.87
23-01-1979,230,141.14,45633.13,1895.37
24-01-1979,236.1,144.69,46372.42,1926.08
25-01-1979,233.85,143.98,46890.28,1937.79
26-01-1979,235.45,144.64,46801.3,1929.26
29-01-1979,235.2,145.25,46917.32,1886.95
30-01-1979,233.5,144.09,46907.17,1921.57
31-01-1979,233.7,144.84,45160.33,1840.82
01-02-1979,229.35,142.85,47160.45,1927.14
02-02-1979,230.3,143.48,46328.34,1907.37
05-02-1979,243.1,150.26,47766.02,1971.85
06-02-1979,244.5,150.8,48317.7,1996.78
07-02-1979,251.6,153.67,48835.68,2030.96
08-02-1979,250.5,153.49,50293.31,2081.04
09-02-1979,246.75,151.3,48548.55,2000.87
12-02-1979,244.25,150.01,49820.36,2046.37
13-02-1979,240.6,148.1,48714.8,2000.6
14-02-1979,240.65,148.25,47638.54,1946.67
15-02-1979,247.75,152.37,49146.71,2008.3
16-02-1979,247.05,152.19,49351.91,2016.69
19-02-1979,248.1,152.84,50094.5,2047.39
20-02-1979,247,152.24,49921.71,2032.39
21-02-1979,250.75,154.63,50398.61,2039.17
22-02-1979,252.35,155.4,50607.37,2052.67
23-02-1979,251,154.44,50405.39,2041.96
26-02-1979,248.6,152.73,50592.58,2034.48
27-02-1979,247.9,152.46,50111.39,2012.67
28-02-1979,251.3,154.64,50209.08,2011.68
01-03-1979,248.8,153.27,50821.01,2023.86
02-03-1979,248,152.83,50920.81,2020.48
05-03-1979,238.15,147.01,49760.54,1972.05
06-03-1979,239.75,147.91,48982.65,1941.23
07-03-1979,242.25,149.08,49423,1953.97
08-03-1979,239.2,147.09,48791.81,1919.78
09-03-1979,241,148.43,49315.21,1938.05
12-03-1979,240,148.01,49652.41,1939.69
13-03-1979,239.1,147.76,50063.34,1963.4
14-03-1979,239.5,147.76,49758.35,1969.91
15-03-1979,240.1,148.22,49673.74,1970.06
16-03-1979,244,150.77,49687,1972.92
19-03-1979,242.25,149.66,50584.67,2016.94
20-03-1979,242.1,149.41,50126.49,1991.55
21-03-1979,239.9,148.28,49778.12,1977.71
22-03-1979,242.85,149.85,49959.64,1997.98
23-03-1979,242.5,149.7,49816.19,1987.49
26-03-1979,245.25,150.98,50353.08,1989.92
27-03-1979,244.35,150.72,51005.19,2006.21
28-03-1979,244.4,150.69,50684.14,1988.91
29-03-1979,241.5,149.12,50335.83,1966.02
30-03-1979,240.1,148.04,50274.29,1940.16
02-04-1979,239.7,148.52,50844.06,1948.09
03-04-1979,240,148.77,51208.13,1942.59
04-04-1979,239.75,148.51,51481.05,1940.84
05-04-1979,240.65,149.14,51850.43,1939.47
06-04-1979,239.75,148.52,51488.37,1922.7
09-04-1979,240.2,149.87,51461.34,1957.59
10-04-1979,239.75,149.27,50895.09,1946.32
11-04-1979,238.35,148.25,50867.47,1956.22
12-04-1979,233.95,145.91,50311.23,1917.55
13-04-1979,233.95,145.88,50311.23,1917.55
16-04-1979,233.95,145.88,50311.23,1917.55
17-04-1979,231.9,144.82,50326.73,1897.5
18-04-1979,233.2,145.35,50551.03,1931.54
19-04-1979,240.9,149.87,52131.66,1980.31
20-04-1979,236.4,147.67,51974.41,1965.59
23-04-1979,236.85,147.78,51665.49,1953.91
24-04-1979,239.7,149.25,52353.13,1982.11
25-04-1979,241.8,150.41,52722.45,2020.73
26-04-1979,242.2,150.7,52836.38,2025.1
27-04-1979,243.7,151.15,53323.18,2016.6
30-04-1979,245.3,152.76,54144.57,2013.1
01-05-1979,247.3,152.8,54994.56,2044.71
02-05-1979,246.3,153.16,55508.85,2036.12
03-05-1979,246.5,153.28,55244.06,2019.55
04-05-1979,248.45,154.48,54691.29,2034.54
07-05-1979,248.45,154.48,54691.29,2034.54
08-05-1979,248.95,154.76,56574.9,2065.99
09-05-1979,247.95,154.12,52685.41,2039.57
10-05-1979,252.25,157.08,53975.2,2096.63
11-05-1979,251.5,156.73,54146.96,2103.3
14-05-1979,251,156.42,53537.46,2089.98
15-05-1979,255.5,159.57,54229.82,2066.64
16-05-1979,256.5,160.1,54922.95,2090.69
17-05-1979,256.8,160.68,55795.87,2107.23
18-05-1979,256.4,161.08,56328.17,2115.46
21-05-1979,262,164.85,57123.69,2148.92
22-05-1979,265.4,166.79,58180.64,2181.38
23-05-1979,264.15,165.89,57750.83,2154.46
24-05-1979,263.75,165.43,57519.28,2155.38
25-05-1979,270.6,170,59393.01,2215.71
28-05-1979,270.6,169.99,59393.01,2215.71
29-05-1979,273.8,172.21,61318.27,2259.99
30-05-1979,270.25,169.65,60036.88,2228.63
31-05-1979,274.6,172,61057.09,2253.41
01-06-1979,275.1,172.68,61222.17,2244.73
04-06-1979,272.9,171.04,60143.81,2215.48
05-06-1979,274.75,172.29,60913.26,2230.97
06-06-1979,280,175.7,61851.48,2277.73
07-06-1979,276.05,173.15,61289.15,2275.69
08-06-1979,280,175.45,60878.73,2262.95
11-06-1979,282.35,176.98,61768.21,2297.86
12-06-1979,277.75,173.99,61274.02,2244.19
13-06-1979,276.6,173.07,60790.57,2208.46
14-06-1979,279,174.47,61359.15,2238.78
15-06-1979,280,174.13,61190.07,2257.8
18-06-1979,278,172.81,61551.66,2263.05
19-06-1979,280.3,172.97,61040.1,2238.92
20-06-1979,281.35,173.13,61423.72,2240.93
21-06-1979,282.3,173.45,61430.43,2232.8
22-06-1979,283.45,173.68,60816.15,2274.3
25-06-1979,283.85,172.89,60879.62,2275.74
